ID;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Min;Dow Jones_Max;Dow Jones_Min;DAX_Max;DAX_Min;SMI_Max;SMI_Min;CAC40_Max;CAC40_Min;FTSE MIB_Max;FTSE MIB_Min;GBP/PLN_Max;GBP/PLN_Min;USD/PLN_Max;USD/PLN_Min;EUR/PLN_Max;EUR/PLN_Min;CHF/PLN_Max;CHF/PLN_Min
28;1729,95;1681,78;7458,88;7373,56;34112,84;33810,05;14485,49;14343,8;11104,84;11046,82;6669,17;6615,58;24656,77;24351,3;5,4636;5,4184;4,5975;4,5633;4,7209;4,6943;4,8281;4,7656
29;1706,47;1683,15;7402,79;7343,37;33862,64;33559,6;14425,95;14321,84;11101,92;11019,98;6649,76;6613,92;24567,07;24315,47;5,4409;5,4003;4,6095;4,5493;4,72;4,6917;4,8133;4,7481
30;1726,63;1689,34;7423,51;7343,5;33827,83;33541,07;14457,76;14300,21;11063,88;10949,42;6667,2;6601,56;24700,21;24421,76;5,423;5,3833;4,5616;4,5239;4,7165;4,6924;4,7846;4,7651
31;1750,96;1695,8;7354,07;7294,75;33615,82;33245,78;14384,54;14149,7;10993,11;10838,8;6634,73;6522,28;24679,8;24184,06;5,404;5,3599;4,5756;4,5073;4,7225;4,6841;4,8119;4,7667
32;1761,51;1731,46;7394,42;7341,59;33682,39;33521,23;14382,62;14195,31;11022,35;10922,45;6656,33;6587,2;24759,24;24514,4;5,4807;5,3438;4,627;4,4994;4,7866;4,6793;4,8996;4,7708
33;1784,76;1728,17;7413,01;7344,85;33984,9;33321,26;14440,78;14266,42;11087,42;10991,74;6684,09;6621,82;24764,28;24498,49;5,4536;5,334;4,6136;4,4806;4,7551;4,6814;4,8785;4,7854
34;1759,79;1697,88;7413,82;7317,57;33963,62;33534,27;14431,18;14243,35;11129,5;10993,1;6662,07;6603,56;24725,05;24512,41;5,3789;5,3243;4,5704;4,5164;4,7228;4,6669;4,8446;4,7397
35;1692,72;1619,03;7405,09;7253,36;33727,73;33167,82;14157,25;13599,35;11147,68;10846,41;6573,85;6381,42;24440,11;23668,79;5,4436;5,3415;4,7502;4,5859;4,7505;4,6757;4,8042;4,7155
36;1658,52;1638,45;7307,8;7263,46;33062,52;32479,06;13691,12;13557,08;10911,45;10803,04;6446,5;6405,84;23847,33;23626,45;5,3973;5,3291;4,7182;4,6455;4,7266;4,6825;4,7899;4,7059
37;1644,75;1602,48;7313,46;7244,83;33354,34;32831,46;13689,61;13487,91;10845,27;10718,32;6451,16;6378,32;23731,73;23378,27;5,3972;5,3607;4,7061;4,6411;4,6994;4,6666;4,7526;4,7098
38;1637,37;1600,71;7346,66;7288;32895,34;32426,08;13611,3;13391;10806,62;10712,88;6442,41;6363,7;23525,01;23158,32;5,3902;5,3186;4,7323;4,6564;4,6967;4,6585;4,7566;4,7249
39;1612,09;1569,01;7376,23;7188,63;32610,6;31938,92;13542,35;13193,51;10852,48;10707,62;6466,32;6289,07;23392,21;22653,4;5,3965;5,3256;4,8228;4,7008;4,7022;4,6719;4,7666;4,7417
40;1559,97;1538,04;7188,63;7076,47;32185,71;31728,85;13194,32;13022,64;10741,52;10633,38;6245,69;6191,73;22706,02;22507,35;5,469;5,3664;4,8451;4,7774;4,7198;4,6898;4,7891;4,7327
41;1573,97;1545,19;7205,07;7130,5;33070,28;32142,98;13398,64;13255,07;10864,62;10766,77;6376,29;6273,55;22970,36;22778,13;5,497;5,4195;4,7976;4,7155;4,732;4,6746;4,7907;4,7352
42;1536,28;1506,41;7132,85;7030,12;32883,86;32586,93;13307,09;13216,48;10850,31;10746,19;6293,15;6244,08;22725,16;22459,18;5,5185;5,4582;4,7827;4,732;4,7357;4,7019;4,7766;4,7413
43;1516,82;1481,23;7073,69;6997,54;32888,75;32158,38;13250,66;13051,25;10783,54;10635,05;6278,77;6183,41;22560,23;22254,88;5,5079;5,4552;4,7651;4,7228;4,7412;4,7112;4,7901;4,7614
44;1506,74;1474,43;7093,05;7034,24;32387,35;31994,43;13259,49;13062,04;10789,95;10702,49;6272,2;6194,33;22633,89;22187,62;5,5043;5,462;4,755;4,6977;4,7673;4,716;4,8007;4,7668
45;1487,6;1443,41;7057,42;6960,11;32171,98;31738,44;13203,24;13023,4;10821,29;10689,81;6282,75;6219,33;22405,47;22130,1;5,5244;5,4671;4,7965;4,7025;4,7785;4,7375;4,827;4,7924
46;1450,33;1422,44;7025,22;6949,24;31875,34;31431,09;13053,24;12789,26;10773,76;10629,55;6253,12;6135,38;22289,85;21857,94;5,5157;5,4587;4,8585;4,7683;4,7931;4,755;4,8537;4,8315
47;1445,85;1411,21;7047,37;6914,66;31602,39;31165,23;13020,45;12747,38;10628,79;10472,38;6175,62;6041,14;22140,99;21570,5;5,5306;5,4571;4,8877;4,834;4,8011;4,7642;4,8774;4,8202
48;1424,9;1397,28;6976,19;6864,13;31119,27;30207,85;12775,52;12548,15;10461,54;10319,86;6056,04;5952,88;21643,43;21261,47;5,4849;5,4252;4,9342;4,8342;4,7934;4,7566;4,8719;4,8359
49;1429,16;1385,16;6954,21;6894,85;30822,14;30265,22;12818,34;12628,78;10502,14;10426,2;6103,5;6029,53;21753,75;21397,88;5,5325;5,4533;4,929;4,8418;4,8164;4,7626;4,9011;4,8699
50;1430,17;1395,73;6968,33;6890,66;30660,88;30229,05;12819,11;12705,26;10591,9;10484,14;6109,97;6040,72;21656,92;21398,47;5,5245;5,4872;4,9208;4,8485;4,8098;4,7803;4,9;4,8766
51;1440,9;1414,9;7017,4;6920,24;30836,88;30301,86;12931,76;12746,36;10645,71;10513,97;6139,78;6057,38;21827,57;21503,34;5,5595;5,4852;4,9021;4,8495;4,8239;4,7787;4,9291;4,8891
52;1418,65;1384,6;6959,71;6850,43;30310,55;29997,98;12716,81;12398,05;10538,32;10296,17;6068,37;5910,39;21389,58;20855,72;5,6061;5,5218;4,9808;4,871;4,8525;4,7929;4,9619;4,896
53;1409,55;1381,49;6976,3;6850,27;30415,38;29615,38;12676,42;12395,99;10460,11;10305,74;6044,75;5921,15;21308,96;20901,66;5,6093;5,5109;4,9768;4,8932;4,8425;4,7908;4,9646;4,9014
54;1381,48;1337,71;6872,9;6707,62;30168,35;28666,77;12379,24;12000,43;10227,9;10010,78;5899,82;5704,87;20825,69;20191,69;5,6411;5,5251;5,0324;4,8977;4,8713;4,7893;5,0149;4,9935
55;1391,14;1369,65;6916,94;6793,77;29455,12;29138,09;12298,62;12104,62;10249,91;10139,66;5872,49;5788,66;20755,21;20420,83;5,5553;5,4703;5,0168;4,9763;4,8682;4,8349;5,0384;4,9844
56;1405,98;1360,7;6959,43;6860,31;29607,97;29074,49;12258,15;12097,68;10230,45;10122,51;5849,58;5770,48;20798,56;20502,43;5,5732;5,4728;5,0292;4,9451;4,8801;4,8315;5,0391;4,9921
57;1400,29;1379,35;6999,2;6922,94;29485,14;29010,98;12410,83;12174,63;10290,71;10200,24;5883,85;5796,31;20974,5;20717,59;5,5733;5,5106;5,0426;4,9845;4,8891;4,8424;5,0494;4,9949
58;1420,33;1398,86;7022,41;6960,36;29685,27;29146,31;12497,52;12272,59;10439,88;10297,19;5956,95;5855,66;21255,06;20862,07;5,581;5,5125;5,0079;4,9464;4,8943;4,8429;5,0497;4,9486
59;1449,55;1409,32;7079,74;6961,1;30329,42;29860,77;12643,22;12421,89;10525,38;10358,78;6018,47;5917,27;21499,72;21043,44;5,5786;5,5038;4,9963;4,8547;4,8952;4,8135;5,045;4,9027
60;1449,73;1418,03;7086,46;6977,95;30452,57;29887,06;12661,88;12455,36;10593,56;10449,53;6034,93;5953,55;21620;21177,04;5,5423;5,4798;4,9179;4,8074;4,844;4,7854;4,9833;4,9018
61;1449,81;1404,22;7088,17;6908,67;30323,43;29826,67;12673,35;12358,98;10590,92;10355,75;6039,69;5852,92;21690,65;21206,83;5,5745;5,4988;4,9247;4,8116;4,8355;4,7895;4,959;4,9388
62;1388,96;1344,02;6923,75;6797,37;29638,98;28855,25;12227,87;11893,94;10290,71;10097,84;5804,27;5654,44;20972,57;20360,7;5,5731;5,4929;4,9667;4,9022;4,8622;4,8132;5,0363;5,0131
63;1396,76;1366,25;6954,92;6840,07;29354,38;28723,55;12137,77;11973,91;10275,86;10155,65;5770,78;5688,34;20692,23;20415,57;5,5726;5,4801;4,9932;4,9268;4,8929;4,8302;5,1035;5,0521
64;1446,35;1375,19;7005,39;6829,29;29503,85;28997,52;12147,31;11866,98;10166,07;10041,52;5746,29;5628,42;20847,83;20183,45;5,5082;5,3499;5,0521;4,9358;4,8776;4,7945;5,1337;5,0251
65;1440,66;1407,56;7011,5;6836,28;29811,2;29114,97;12198,37;11862,84;10220,76;10059,79;5773,08;5651,49;20906,32;20481,73;5,4647;5,3103;5,0609;4,9349;4,8412;4,7825;5,1116;4,969
66;1473,21;1443,23;7073,96;6984,59;29657,46;28959,59;12414,09;12139,68;10201,23;10108,85;5852,61;5753,82;21493,12;20961,38;5,3651;5,2799;5,005;4,9132;4,7961;4,7471;5,0519;4,9634
