WIG20_MAX_DIF;WIG20_MAX_PRC;WIG20_MAX;WIG20_MIN;FTSE 100_Max;FTSE 100_Max_DIF;FTSE 100_Max_PRC;FTSE 100_Min;FTSE 100_Min_DIF;Dow Jones_Max;Dow Jones_Max_PRC;Dow Jones_Max_DIF;Dow Jones_Min;Dow Jones_Min_DIF;DAX_Max;DAX_Max_PRC;DAX_Max_DIF;DAX_Min;DAX_Min_DIF;SMI_Max;SMI_Max_PRC;SMI_Max_DIF;SMI_Min;SMI_Min_DIF;CAC40_Max;CAC40_Max_PRC;CAC40_Max_DIF;CAC40_Min;CAC40_Min_DIF;FTSE MIB_Max;FTSE MIB_Max_PRC;FTSE MIB_Max_DIF;FTSE MIB_Min;FTSE MIB_Min_DIF;GBP/PLN_Max.;GBP/PLN_Max._PRC;GBP/PLN_Max._DIF;GBP/PLN_Min.;GBP/PLN_Min._DIF;USD/PLN_Max.;USD/PLN_Max._PRC;USD/PLN_Max._DIF;USD/PLN_Min.;USD/PLN_Min._DIF;EUR/PLN_Max.;EUR/PLN_Max._PRC;EUR/PLN_Max._DIF;EUR/PLN_Min.;EUR/PLN_Min._DIF;CHF/PLN_Max.;CHF/PLN_Max._PRC;CHF/PLN_Max._DIF;CHF/PLN_Min.;CHF/PLN_Min._DIF
10,58;0,005901;1803,6;1714,22;7476,63;-76,73;-0,010158;7438,87;9,89;34004,81;-0,020362628;-706,82;33545,5;-351,3;14366,39;-0,021085676;-309,45;14262,6;-39,89;11050,3;-0,015429275;-173,17;10989,77;-24,39;6681,3;-0,020782342;-141,8;6634,97;-7,12;24352,55;-0,021954521;-546,65;24132,58;-159,81;5,48;-0,005444646;-0,03;5,44;-0,01;4,47;0,002242152;0,01;4,43;0,04;4,7;-0,006342495;-0,03;4,68;0;4,78;0;0;4,75;0,02
-44,21;-0,024512;1759,39;1717;7498,04;21,41;0,002864;7431,44;-7,43;33844,56;-0,004712569;-160,25;33465,57;-79,93;14385,57;0,001335061;19,18;14217,96;-44,64;11101,33;0,004617974;51,03;10980,8;-8,97;6680,09;-0,000181102;-1,21;6618,27;-16,7;24333,38;-0,000787187;-19,17;23940,98;-191,6;5,49;0,001824818;0,01;5,42;-0,02;4,46;-0,002237136;-0,01;4,42;-0,01;4,7;0;0;4,67;-0,01;4,78;0;0;4,73;-0,02
-23,63;-0,013431;1735,76;1715,72;7507,98;9,94;0,001326;7469,12;37,68;33898,46;0,001592575;53,9;33643,05;177,48;14298,81;-0,006031044;-86,76;14196,77;-21,19;11035,96;-0,005888484;-65,37;10940,27;-40,53;6679,57;-7,78433E-05;-0,52;6629,36;11,09;24299,84;-0,001378354;-33,54;24103,31;162,33;5,46;-0,005464481;-0,03;5,41;-0,01;4,48;0,004484305;0,02;4,43;0,01;4,71;0,00212766;0,01;4,68;0,01;4,76;-0,0041841;-0,02;4,73;0
-0,35;-0,000202;1735,41;1720,19;7567,23;59,25;0,007892;7489,19;20,07;33773,78;-0,003678043;-124,68;33505,36;-137,69;14372,35;0,005143085;73,54;14218,18;21,41;11077,77;0,003788524;41,81;11000,64;60,37;6696,65;0,002557051;17,08;6642,44;13,08;24428,77;0,005305796;128,93;24155,42;52,11;5,47;0,001831502;0,01;5,43;0,02;4,5;0,004464286;0,02;4,45;0,02;4,71;0;0;4,68;0;4,78;0,004201681;0,02;4,74;0,01
3,64;0,002097;1739,05;1722,72;7567,64;0,41;0,000054;7521,39;32,2;34005,32;0,006855614;231,54;33418,59;-86,77;14471,5;0,006898663;99,15;14305,26;87,08;11208,11;0,011765906;130,34;11085,28;84,64;6704,74;0,001208067;8,09;6656,93;14,49;24582,29;0,006284393;153,52;24265,45;110,03;5,49;0,003656307;0,02;5,43;0;4,51;0,002222222;0,01;4,45;0;4,72;0,002123142;0,01;4,69;0,01;4,77;-0,00209205;-0,01;4,74;0
2,81;0,001616;1741,86;1738,95;7598,21;30,57;0,004040;7547,76;26,37;34270,09;0,007786135;264,77;33847,05;428,46;14507,16;0,002464154;35,66;14394,37;89,11;11239,76;0,002823848;31,65;11170,93;85,65;6738,97;0,005105343;34,23;6685,52;28,59;24674,02;0,003731548;91,73;24495,36;229,91;5,48;-0,001821494;-0,01;5,43;0;4,5;-0,002217295;-0,01;4,41;-0,04;4,72;0;0;4,66;-0,03;4,78;0,002096436;0,01;4,72;-0,02
24,18;0,013882;1766,04;1730,43;7570,46;-27,75;-0,003652;7507,98;-39,78;34481,12;0,006157848;211,03;34042,46;195,41;14584,59;0,005337364;77,43;14372,42;-21,95;11234,25;-0,000490224;-5,51;11122,68;-48,25;6767,72;0,004266231;28,75;6689,76;4,24;24701,67;0,001120612;27,65;24414,63;-80,73;5,48;0;0;5,42;-0,01;4,5;0;0;4,43;0,02;4,7;-0,004237288;-0,02;4,66;0;4,78;0;0;4,73;0,01
-1,02;-0,000578;1765,02;1741,13;7599,7;29,24;0,003862;7552,29;44,31;34581,98;0,002925079;100,86;34130,18;87,72;14563,7;-0,001432334;-20,89;14423,79;51,37;11283,87;0,00441685;49,62;11207,56;84,88;6791,31;0,003485664;23,59;6730,55;40,79;24857,02;0,006289048;155,35;24598,67;184,04;5,5;0,003649635;0,02;5,4;-0,02;4,52;0,004444444;0,02;4,45;0,02;4,71;0,00212766;0,01;4,66;0;4,78;0;0;4,74;0,01
1,36;0,000771;1766,38;1727,88;7599,27;-0,43;-0,000057;7512;-40,29;34587,46;0,000158464;5,48;33583,93;-546,25;14487,7;-0,005218454;-76;14363,32;-60,47;11204,88;-0,007000258;-78,99;11127,77;-79,79;6743,6;-0,007025154;-47,71;6678,75;-51,8;24685;-0,006920379;-172,02;24474,55;-124,12;5,42;-0,014545455;-0,08;5,38;-0,02;4,54;0,004424779;0,02;4,48;0,03;4,69;-0,004246285;-0,02;4,66;0;4,78;0;0;4,72;-0,02
-9,43;-0,005339;1756,95;1718,31;7543,09;-56,18;-0,007393;7473,99;-38,01;33933,49;-0,01890772;-653,97;33662,45;78,52;14429,87;-0,003991662;-57,83;14327,04;-36,28;11176,97;-0,002490879;-27,91;11071,56;-56,21;6695,86;-0,007079305;-47,74;6649,88;-28,87;24562,38;-0,004967389;-122,62;24252,57;-221,98;5,44;0,003690037;0,02;5,4;0,02;4,54;0;0;4,5;0,02;4,69;0;0;4,66;0;4,78;0;0;4,73;0,01
-12,24;-0,006967;1744,71;1728,74;7496,8;-46,29;-0,006137;7420;-53,99;34303,88;0,010915176;370,39;33799,41;136,96;14514,73;0,005880857;84,86;14374,15;47,11;11199,19;0,001988016;22,22;11115,37;43,81;6693,92;-0,000289731;-1,94;6641,3;-8,58;24600,04;0,001533239;37,66;24407,48;154,91;5,47;0,005514706;0,03;5,39;-0,01;4,54;0;0;4,46;-0,04;4,7;0,002132196;0,01;4,67;0,01;4,8;0,0041841;0,02;4,73;0
